trade_start,trade_end,n_pass,n_pit_candidates,selected
2010-01-04,2010-07-02,151,0,"EMR-ETN,HUBB-SWK,ALL-MET,NVDA-TER,DE-HON"
2010-07-06,2010-12-31,258,5,"TXT-WAB,GE-WAB,ADI-IBM,AOS-ETN,MKC-SYY"
2011-01-03,2011-07-01,329,10,"C-MET,C-JPM,C-HIG,TDY-TER,C-PRU"
2011-07-05,2011-12-30,85,15,"HON-JBHT,KIM-REG,NOC-PNR,MMM-WM,DOV-TDG"
2012-01-03,2012-07-02,99,20,"HBAN-PFG,PEG-SO,JCI-WAB,JBHT-JCI,O-VTR"
2012-07-03,2013-01-03,70,25,"FDX-MAS,APD-CRH,CPT-EQR,DOV-ROK,MSCI-SCHW"
2013-01-04,2013-07-05,136,30,"AVB-ESS,AIG-IVZ,AIG-BRO,AIG-FISV,NTRS-RJF"
2013-07-08,2014-01-03,243,35,"EG-L,BAC-BNY,L-TRV,DTE-ES,DOV-ETN"
2014-01-06,2014-07-07,26,40,"AIG-L,BAC-BNY,JCI-PNR,DTE-ES,J-PCAR"
2014-07-08,2015-01-05,32,43,"LIN-PPG,CMS-ES,KEY-SCHW,NUE-STLD,PH-UPS"
2015-01-06,2015-07-07,30,48,"HBAN-SCHW,CMS-XEL,AME-LHX,ESS-UDR,NI-SRE"
2015-07-08,2016-01-05,50,53,"FRT-SPG,L-WFC,CMS-PCG,DTE-EIX,L-PNC"
2016-01-06,2016-07-06,82,58,"AME-EME,L-PGR,CMS-XEL,ES-PNW,C-GS"
2016-07-07,2017-01-04,38,62,"ALLE-AOS,COF-MET,MTB-RJF,RJF-TFC,APH-FLEX"
2017-01-05,2017-07-06,48,67,"NTRS-PRU,EXPD-UPS,APH-FLEX,COF-MET,FITB-PRU"
2017-07-07,2018-01-04,42,70,"BRO-L,HON-RTX,DUK-ED,CFG-PRU,BDX-BSX"
2018-01-05,2018-07-06,34,75,"AEP-ED,AON-WTW,COP-CVX,CPT-PLD,ATO-XEL"
2018-07-09,2019-01-07,15,80,"MS-PNC,AME-AOS,CCI-SBAC,LHX-NOC,MMM-SWK"
2019-01-08,2019-07-09,37,85,"L-PNC,FITB-MS,GDDY-PTC,L-MS,FIS-V"
2019-07-10,2020-01-07,17,89,"FISV-MA,AEP-XEL,GDDY-PTC,FIS-V,MLM-VMC"
2020-01-08,2020-07-08,40,92,"ETR-NEE,CMS-FE,FE-LNT,GL-JPM,FITB-MS"
2020-07-09,2021-01-06,88,96,"EXPD-PWR,CPT-EXR,GPN-MA,ADI-ROP,COF-RJF"
2021-01-07,2021-07-08,83,101,"AON-GPN,KKR-TROW,V-WTW,DHR-TMO,MA-WTW"
2021-07-09,2022-01-05,165,106,"GDDY-SNPS,KKR-TROW,KLAC-PTC,GDDY-MPWR,AFL-USB"
2022-01-06,2022-07-08,178,110,"BEN-NTRS,ES-NEE,EXPE-GM,BA-UAL,DOC-WELL"
2022-07-11,2023-01-06,48,115,"ACGL-EG,IEX-TT,MDLZ-SJM,BR-CPRT,ACN-MSFT"
2023-01-09,2023-07-11,42,120,"NXPI-ZBRA,ACGL-EG,AFL-EG,CMS-DTE,AMD-MRVL"
2023-07-12,2024-01-09,37,124,"GOOG-GOOGL,NXPI-TEL,FTNT-NVDA,IQV-LH,MS-STT"
2024-01-10,2024-07-11,112,129,"SYF-WFC,EXPD-OTIS,HWM-SNA,APTV-WYNN,EXPD-PH"
2024-07-12,2025-01-10,32,134,"FE-PPL,MPWR-TEL,AMP-JPM,INTU-NOW,SNA-SWK"
2025-01-13,2025-07-15,13,139,"AEP-FE,ANET-AVGO,CPT-UDR,BNY-PNC,MCO-SPGI"
2025-07-16,2026-01-13,33,144,"NDAQ-STT,MCO-SPGI,IVZ-USB,KEY-PNC,AEP-DUK"
2026-01-14,2026-07-16,22,148,"EG-L,EG-WRB,EG-TRV,EG-HIG,KEY-RF"
2026-07-17,2026-07-28,41,152,"AEE-CNP,ALL-TRV,PPL-WEC,EG-WRB,IEX-ODFL"
