asof,symbol_a,symbol_b,pair
2010-07-06,ALL,MET,ALL-MET
2010-07-06,DE,HON,DE-HON
2010-07-06,EMR,ETN,EMR-ETN
2010-07-06,HUBB,SWK,HUBB-SWK
2010-07-06,NVDA,TER,NVDA-TER
2011-01-03,ADI,IBM,ADI-IBM
2011-01-03,ALL,MET,ALL-MET
2011-01-03,AOS,ETN,AOS-ETN
2011-01-03,DE,HON,DE-HON
2011-01-03,EMR,ETN,EMR-ETN
2011-01-03,GE,WAB,GE-WAB
2011-01-03,HUBB,SWK,HUBB-SWK
2011-01-03,MKC,SYY,MKC-SYY
2011-01-03,NVDA,TER,NVDA-TER
2011-01-03,TXT,WAB,TXT-WAB
2011-07-05,ADI,IBM,ADI-IBM
2011-07-05,ALL,MET,ALL-MET
2011-07-05,AOS,ETN,AOS-ETN
2011-07-05,C,HIG,C-HIG
2011-07-05,C,JPM,C-JPM
2011-07-05,C,MET,C-MET
2011-07-05,C,PRU,C-PRU
2011-07-05,DE,HON,DE-HON
2011-07-05,EMR,ETN,EMR-ETN
2011-07-05,GE,WAB,GE-WAB
2011-07-05,HUBB,SWK,HUBB-SWK
2011-07-05,MKC,SYY,MKC-SYY
2011-07-05,NVDA,TER,NVDA-TER
2011-07-05,TDY,TER,TDY-TER
2011-07-05,TXT,WAB,TXT-WAB
2012-01-03,ADI,IBM,ADI-IBM
2012-01-03,ALL,MET,ALL-MET
2012-01-03,AOS,ETN,AOS-ETN
2012-01-03,C,HIG,C-HIG
2012-01-03,C,JPM,C-JPM
2012-01-03,C,MET,C-MET
2012-01-03,C,PRU,C-PRU
2012-01-03,DE,HON,DE-HON
2012-01-03,DOV,TDG,DOV-TDG
2012-01-03,EMR,ETN,EMR-ETN
2012-01-03,GE,WAB,GE-WAB
2012-01-03,HON,JBHT,HON-JBHT
2012-01-03,HUBB,SWK,HUBB-SWK
2012-01-03,KIM,REG,KIM-REG
2012-01-03,MKC,SYY,MKC-SYY
2012-01-03,MMM,WM,MMM-WM
