symbol,name,gics_sector,sub_industry,source_index,sector
MMM,3M,Industrials,Industrial Conglomerates,sp500,Industrials
AOS,A. O. Smith,Industrials,Building Products,sp500,Industrials
ABT,Abbott Laboratories,Health Care,Health Care Equipment,sp500,Healthcare
ABBV,AbbVie,Health Care,Biotechnology,sp500,Healthcare
ACN,Accenture,Information Technology,IT Consulting & Other Services,sp500,Technology
ADBE,Adobe Inc.,Information Technology,Application Software,sp500,Technology
AMD,Advanced Micro Devices,Information Technology,Semiconductors,sp500,Technology
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,sp500,Utilities
AFL,Aflac,Financials,Life & Health Insurance,sp500,Financials
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,sp500,Healthcare
APD,Air Products,Materials,Industrial Gases,sp500,Materials
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp500,Consumer Discretionary
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,sp500,Technology
ALB,Albemarle Corporation,Materials,Specialty Chemicals,sp500,Materials
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,sp500,Real Estate
ALGN,Align Technology,Health Care,Health Care Supplies,sp500,Healthcare
ALLE,Allegion,Industrials,Building Products,sp500,Industrials
LNT,Alliant Energy,Utilities,Electric Utilities,sp500,Utilities
ALL,Allstate,Financials,Property & Casualty Insurance,sp500,Financials
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,sp500,Communication Services
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,sp500,Communication Services
MO,Altria,Consumer Staples,Tobacco,sp500,Consumer Staples
AMZN,Amazon,Consumer Discretionary,Broadline Retail,sp500,Consumer Discretionary
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,sp500,Materials
AEE,Ameren,Utilities,Multi-Utilities,sp500,Utilities
AEP,American Electric Power,Utilities,Electric Utilities,sp500,Utilities
AXP,American Express,Financials,Consumer Finance,sp500,Financials
AIG,American International Group,Financials,Multi-line Insurance,sp500,Financials
AMT,American Tower,Real Estate,Telecom Tower REITs,sp500,Real Estate
AWK,American Water Works,Utilities,Water Utilities,sp500,Utilities
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,sp500,Financials
AME,Ametek,Industrials,Electrical Components & Equipment,sp500,Industrials
AMGN,Amgen,Health Care,Biotechnology,sp500,Healthcare
APH,Amphenol,Information Technology,Electronic Components,sp500,Technology
ADI,Analog Devices,Information Technology,Semiconductors,sp500,Technology
AON,Aon plc,Financials,Insurance Brokers,sp500,Financials
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,sp500,Energy
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,sp500,Financials
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",sp500,Technology
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,sp500,Technology
APP,AppLovin,Information Technology,Application Software,sp500,Technology
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,sp500,Consumer Discretionary
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,sp500,Financials
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,sp500,Consumer Staples
ARES,Ares Management,Financials,Asset Management & Custody Banks,sp500,Financials
ANET,Arista Networks,Information Technology,Communications Equipment,sp500,Technology
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,sp500,Financials
AIZ,Assurant,Financials,Multi-line Insurance,sp500,Financials
T,AT&T,Communication Services,Integrated Telecommunication Services,sp500,Communication Services
ATO,Atmos Energy,Utilities,Gas Utilities,sp500,Utilities
ADSK,Autodesk,Information Technology,Application Software,sp500,Technology
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,sp500,Industrials
AZO,AutoZone,Consumer Discretionary,Automotive Retail,sp500,Consumer Discretionary
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,sp500,Real Estate
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,sp500,Materials
AXON,Axon Enterprise,Industrials,Aerospace & Defense,sp500,Industrials
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,sp500,Energy
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",sp500,Materials
BAC,Bank of America,Financials,Diversified Banks,sp500,Financials
BAX,Baxter International,Health Care,Health Care Equipment,sp500,Healthcare
BDX,Becton Dickinson,Health Care,Health Care Equipment,sp500,Healthcare
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,sp500,Financials
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,sp500,Consumer Discretionary
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,sp500,Healthcare
BIIB,Biogen,Health Care,Biotechnology,sp500,Healthcare
BLK,BlackRock,Financials,Asset Management & Custody Banks,sp500,Financials
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,sp500,Financials
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,sp500,Financials
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,sp500,Financials
BA,Boeing,Industrials,Aerospace & Defense,sp500,Industrials
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp500,Consumer Discretionary
BSX,Boston Scientific,Health Care,Health Care Equipment,sp500,Healthcare
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,sp500,Healthcare
AVGO,Broadcom,Information Technology,Semiconductors,sp500,Technology
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,sp500,Industrials
BRO,Brown & Brown,Financials,Insurance Brokers,sp500,Financials
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,sp500,Consumer Staples
BLDR,Builders FirstSource,Industrials,Building Products,sp500,Industrials
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,sp500,Consumer Staples
BXP,"BXP, Inc.",Real Estate,Office REITs,sp500,Real Estate
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,sp500,Industrials
CDNS,Cadence Design Systems,Information Technology,Application Software,sp500,Technology
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,sp500,Real Estate
COF,Capital One,Financials,Consumer Finance,sp500,Financials
CAH,Cardinal Health,Health Care,Health Care Distributors,sp500,Healthcare
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp500,Consumer Discretionary
CARR,Carrier Global,Industrials,Building Products,sp500,Industrials
CVNA,Carvana,Consumer Discretionary,Automotive Retail,sp500,Consumer Discretionary
CASY,Casey's,Consumer Staples,Food Retail,sp500,Consumer Staples
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,sp500,Industrials
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,sp500,Financials
CBRE,CBRE Group,Real Estate,Real Estate Services,sp500,Real Estate
CDW,CDW Corporation,Information Technology,Technology Distributors,sp500,Technology
COR,Cencora,Health Care,Health Care Distributors,sp500,Healthcare
CNC,Centene Corporation,Health Care,Managed Health Care,sp500,Healthcare
CNP,CenterPoint Energy,Utilities,Multi-Utilities,sp500,Utilities
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,sp500,Materials
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,sp500,Healthcare
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,sp500,Financials
CHTR,Charter Communications,Communication Services,Cable & Satellite,sp500,Communication Services
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,sp500,Energy
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,sp500,Consumer Discretionary
CB,Chubb Limited,Financials,Property & Casualty Insurance,sp500,Financials
CHD,Church & Dwight,Consumer Staples,Household Products,sp500,Consumer Staples
CIEN,Ciena,Information Technology,Communications Equipment,sp500,Technology
CI,Cigna,Health Care,Health Care Services,sp500,Healthcare
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,sp500,Financials
CTAS,Cintas,Industrials,Diversified Support Services,sp500,Industrials
CSCO,Cisco,Information Technology,Communications Equipment,sp500,Technology
C,Citigroup,Financials,Diversified Banks,sp500,Financials
CFG,Citizens Financial Group,Financials,Regional Banks,sp500,Financials
CLX,Clorox,Consumer Staples,Household Products,sp500,Consumer Staples
CME,CME Group,Financials,Financial Exchanges & Data,sp500,Financials
CMS,CMS Energy,Utilities,Multi-Utilities,sp500,Utilities
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,sp500,Consumer Staples
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,sp500,Technology
COHR,Coherent Corp.,Information Technology,Electronic Components,sp500,Technology
COIN,Coinbase,Financials,Financial Exchanges & Data,sp500,Financials
CL,Colgate-Palmolive,Consumer Staples,Household Products,sp500,Consumer Staples
CMCSA,Comcast,Communication Services,Cable & Satellite,sp500,Communication Services
FIX,Comfort Systems USA,Industrials,Construction & Engineering,sp500,Industrials
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,sp500,Energy
ED,Consolidated Edison,Utilities,Multi-Utilities,sp500,Utilities
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,sp500,Consumer Staples
CEG,Constellation Energy,Utilities,Electric Utilities,sp500,Utilities
COO,Cooper Companies (The),Health Care,Health Care Supplies,sp500,Healthcare
CPRT,Copart,Industrials,Diversified Support Services,sp500,Industrials
GLW,Corning Inc.,Information Technology,Electronic Components,sp500,Technology
CPAY,Corpay,Financials,Transaction & Payment Processing Services,sp500,Financials
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,sp500,Materials
CSGP,CoStar Group,Real Estate,Real Estate Services,sp500,Real Estate
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,sp500,Consumer Staples
CRH,CRH plc,Materials,Construction Materials,sp500,Materials
CRWD,CrowdStrike,Information Technology,Systems Software,sp500,Technology
CCI,Crown Castle,Real Estate,Telecom Tower REITs,sp500,Real Estate
CSX,CSX Corporation,Industrials,Rail Transportation,sp500,Industrials
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,sp500,Industrials
CVS,CVS Health,Health Care,Health Care Services,sp500,Healthcare
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,sp500,Healthcare
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,sp500,Consumer Discretionary
DDOG,Datadog,Information Technology,Application Software,sp500,Technology
DVA,DaVita,Health Care,Health Care Services,sp500,Healthcare
DECK,Deckers Brands,Consumer Discretionary,Footwear,sp500,Consumer Discretionary
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,sp500,Industrials
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",sp500,Technology
DAL,Delta Air Lines,Industrials,Passenger Airlines,sp500,Industrials
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,sp500,Energy
DXCM,Dexcom,Health Care,Health Care Equipment,sp500,Healthcare
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,sp500,Energy
DLR,Digital Realty,Real Estate,Data Center REITs,sp500,Real Estate
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,sp500,Consumer Staples
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,sp500,Consumer Staples
D,Dominion Energy,Utilities,Multi-Utilities,sp500,Utilities
DPZ,Domino's,Consumer Discretionary,Restaurants,sp500,Consumer Discretionary
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,sp500,Consumer Discretionary
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,sp500,Industrials
DOW,Dow Inc.,Materials,Commodity Chemicals,sp500,Materials
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,sp500,Consumer Discretionary
DTE,DTE Energy,Utilities,Multi-Utilities,sp500,Utilities
DUK,Duke Energy,Utilities,Electric Utilities,sp500,Utilities
DD,DuPont,Materials,Specialty Chemicals,sp500,Materials
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,sp500,Industrials
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,sp500,Consumer Discretionary
ECHO,EchoStar,Communication Services,Wireless Telecommunication Services,sp500,Communication Services
ECL,Ecolab,Materials,Specialty Chemicals,sp500,Materials
EIX,Edison International,Utilities,Electric Utilities,sp500,Utilities
EW,Edwards Lifesciences,Health Care,Health Care Equipment,sp500,Healthcare
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,sp500,Communication Services
ELV,Elevance Health,Health Care,Managed Health Care,sp500,Healthcare
EME,Emcor,Industrials,Construction & Engineering,sp500,Industrials
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,sp500,Industrials
ETR,Entergy,Utilities,Electric Utilities,sp500,Utilities
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,sp500,Energy
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,sp500,Energy
EFX,Equifax,Industrials,Research & Consulting Services,sp500,Industrials
EQIX,Equinix,Real Estate,Data Center REITs,sp500,Real Estate
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,sp500,Real Estate
ERIE,Erie Indemnity,Financials,Insurance Brokers,sp500,Financials
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,sp500,Real Estate
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,sp500,Consumer Staples
