date,equity
2010-01-04,100000.000000
2010-01-05,100000.000000
2010-01-06,100000.000000
2010-01-07,100000.000000
2010-01-08,100000.000000
2010-01-11,100000.000000
2010-01-12,100000.000000
2010-01-13,100000.000000
2010-01-14,100000.000000
2010-01-15,100000.000000
2010-01-19,100000.000000
2010-01-20,100000.000000
2010-01-21,100000.000000
2010-01-22,100000.000000
2010-01-25,100000.000000
2010-01-26,100000.000000
2010-01-27,100000.000000
2010-01-28,100000.000000
2010-01-29,100000.000000
2010-02-01,99959.403516
2010-02-02,101175.736353
2010-02-03,100184.629550
2010-02-04,96695.246447
2010-02-05,97354.352879
2010-02-08,96180.036115
2010-02-09,97667.323750
2010-02-10,97684.297158
2010-02-11,98866.355673
2010-02-12,98836.097308
2010-02-16,101239.588834
2010-02-17,101603.783435
2010-02-18,102597.022118
2010-02-19,102685.480488
2010-02-22,102987.271115
2010-02-23,101581.291508
2010-02-24,102457.029025
2010-02-25,102292.982286
2010-02-26,102579.776279
2010-03-01,104192.445480
2010-03-02,104926.967549
2010-03-03,104776.887521
2010-03-04,104734.630479
2010-03-05,106450.409932
2010-03-08,106409.793051
2010-03-09,106341.427706
2010-03-10,107084.515658
2010-03-11,107730.227060
2010-03-12,107594.775317
2010-03-15,107360.685105
2010-03-16,108725.222961
2010-03-17,109784.350206
2010-03-18,109621.697541
2010-03-19,108467.660196
2010-03-22,109850.671075
2010-03-23,110601.762202
2010-03-24,109805.133707
2010-03-25,109258.112570
2010-03-26,109280.128717
2010-03-29,110401.297405
2010-03-30,110408.382572
2010-03-31,110051.274132
2010-04-01,111241.716778
2010-04-05,112887.685570
2010-04-06,113445.442945
2010-04-07,112596.738802
2010-04-08,113416.065894
2010-04-09,114539.909229
2010-04-12,114609.416540
2010-04-13,114819.553246
2010-04-14,116621.325275
2010-04-15,116576.311072
2010-04-16,114609.725807
2010-04-19,114409.845022
2010-04-20,115913.334416
2010-04-21,116203.928355
2010-04-22,118280.128421
2010-04-23,119832.214277
2010-04-26,119997.969548
2010-04-27,116706.132012
2010-04-28,117839.617825
2010-04-29,120138.928769
2010-04-30,116899.397385
2010-05-03,119301.427555
2010-05-04,115751.953251
2010-05-05,114261.552638
2010-05-06,110212.408554
2010-05-07,107177.463943
2010-05-10,114690.536590
2010-05-11,114577.870098
2010-05-12,117263.742425
2010-05-13,115349.462086
2010-05-14,111998.306340
2010-05-17,111938.353899
2010-05-18,109521.858805
2010-05-19,108214.108349
2010-05-20,103398.422603
2010-05-21,106316.981217
2010-05-24,104604.447441
2010-05-25,104965.669202
2010-05-26,105124.050875
2010-05-27,109679.857631
2010-05-28,107994.226278
2010-06-01,105553.022501
2010-06-02,108639.259243
2010-06-03,109296.399174
2010-06-04,104143.664868
2010-06-07,101666.455629
2010-06-08,102988.935888
2010-06-09,103401.290181
2010-06-10,107162.951151
2010-06-11,108131.011507
2010-06-14,108344.874605
2010-06-15,111334.378666
2010-06-16,111145.972354
2010-06-17,111033.072647
2010-06-18,111069.184281
2010-06-21,110853.261167
2010-06-22,108269.888513
2010-06-23,108820.348627
2010-06-24,106822.146688
2010-06-25,108365.710985
2010-06-28,107143.600163
2010-06-29,102324.086772
2010-06-30,101184.225169
2010-07-01,100816.332782
2010-07-02,99710.316662
2010-07-06,99705.185797
2010-07-07,103853.237936
2010-07-08,104402.444168
2010-07-09,105765.544694
2010-07-12,105441.279316
2010-07-13,107636.401304
2010-07-14,107718.659575
2010-07-15,107268.458888
2010-07-16,103820.309828
2010-07-19,104262.008430
2010-07-20,105116.102592
2010-07-21,103963.297152
2010-07-22,106479.523947
2010-07-23,108018.333863
2010-07-26,109459.382999
2010-07-27,108528.928127
2010-07-28,107708.292477
2010-07-29,107325.255776
2010-07-30,107422.388118
2010-08-02,109656.670238
2010-08-03,109182.232508
2010-08-04,109908.663517
2010-08-05,109396.114375
2010-08-06,108983.943582
2010-08-09,109625.348659
2010-08-10,108984.751293
2010-08-11,105960.825873
2010-08-12,105497.218526
2010-08-13,105253.373218
2010-08-16,105300.095979
2010-08-17,106844.436974
2010-08-18,107131.829005
2010-08-19,105752.767490
2010-08-20,106528.767688
2010-08-23,105534.769486
2010-08-24,103897.142319
2010-08-25,104471.407434
2010-08-26,103804.051396
2010-08-27,105569.523424
2010-08-30,103707.623585
2010-08-31,104060.337211
2010-09-01,107041.960428
2010-09-02,108686.969147
2010-09-03,110052.716647
2010-09-07,109021.029285
2010-09-08,110031.329955
2010-09-09,109624.472557
2010-09-10,109853.908224
2010-09-13,111581.500352
2010-09-14,111464.721327
2010-09-15,111921.070739
2010-09-16,111499.267094
2010-09-17,111771.151893
2010-09-20,113982.139407
2010-09-21,112788.292667
2010-09-22,111741.074156
2010-09-23,110295.159605
2010-09-24,112852.547423
2010-09-27,111955.572704
2010-09-28,112610.692659
2010-09-29,112253.107420
2010-09-30,111864.857742
2010-10-01,112084.624857
2010-10-04,111952.986923
2010-10-05,114024.379623
2010-10-06,112702.102454
2010-10-07,112492.351624
2010-10-08,112969.259446
2010-10-11,112710.765387
2010-10-12,113736.917649
2010-10-13,114551.962590
2010-10-14,114379.759539
2010-10-15,114529.752929
2010-10-18,114983.633932
2010-10-19,113555.146164
2010-10-20,115031.821325
2010-10-21,114732.022028
2010-10-22,115824.127801
2010-10-25,116118.043043
2010-10-26,115928.324993
2010-10-27,115423.609552
2010-10-28,115223.072999
2010-10-29,115406.776696
2010-11-01,115735.313269
2010-11-02,116853.751554
2010-11-03,117059.316380
2010-11-04,119449.760934
2010-11-05,119947.258497
2010-11-08,120198.309447
2010-11-09,118931.043869
2010-11-10,119671.918069
2010-11-11,119779.579878
2010-11-12,118217.822292
2010-11-15,117897.209309
2010-11-16,115667.683394
